rainfall_mm,slope_deg,susceptibility,soil_saturation,past_incidents,risk_probability,slide_occurred
191.0,24.1,0.487,0.361,5,0.788,1
12.5,26.7,0.68,0.286,6,0.245,0
50.2,60.0,0.485,0.295,1,0.836,1
64.5,47.4,0.477,0.358,1,0.607,1
12.2,21.5,0.523,0.145,1,0.127,0
58.6,21.8,0.822,0.149,5,0.232,0
20.6,39.8,0.821,0.241,4,0.598,1
45.0,40.5,0.103,0.248,0,0.171,0
45.2,40.5,0.661,0.258,1,0.387,0
34.5,32.5,0.166,0.318,2,0.133,0
4.3,33.7,0.406,0.221,4,0.296,0
81.2,38.3,0.176,0.493,1,0.411,0
17.4,35.9,0.286,0.203,3,0.325,0
9.3,12.8,0.095,0.116,2,0.02,0
1.9,32.7,0.589,0.139,9,0.489,0
40.2,26.5,0.542,0.277,4,0.285,0
50.9,36.8,0.853,0.35,6,0.677,1
0.8,60.0,0.559,0.05,2,0.725,1
32.3,38.7,0.098,0.226,2,0.177,0
11.6,31.9,0.633,0.306,2,0.254,0
46.6,44.2,0.234,0.24,2,0.348,0
8.6,39.8,0.435,0.245,1,0.331,0
52.8,39.2,0.159,0.313,1,0.296,0
22.0,41.1,0.763,0.278,3,0.501,1
124.2,55.6,0.255,0.375,7,0.915,1
6.7,23.7,0.247,0.101,0,0.141,0
18.8,39.7,0.704,0.195,4,0.459,0
5.4,25.7,0.284,0.05,1,0.106,0
116.4,40.6,0.68,0.4,4,0.777,1
94.4,25.8,0.373,0.391,2,0.362,0
13.4,30.8,0.311,0.324,1,0.093,0
48.5,32.0,0.099,0.295,1,0.103,0
76.5,44.8,0.622,0.378,1,0.687,1
36.5,44.2,0.803,0.328,9,0.938,1
33.9,22.5,0.412,0.152,2,0.124,0
12.5,35.5,0.752,0.166,5,0.447,0
4.4,27.9,0.217,0.354,1,0.176,0
102.4,22.4,0.469,0.383,0,0.282,0
103.8,32.8,0.265,0.482,5,0.556,1
45.1,31.9,0.678,0.332,6,0.451,0
18.6,59.3,0.301,0.075,5,0.644,1
19.3,39.3,0.46,0.22,1,0.284,0
58.3,21.2,0.612,0.298,2,0.183,0
102.3,29.4,0.741,0.415,6,0.673,1
98.2,45.2,0.758,0.319,1,0.761,1
68.1,55.9,0.078,0.22,1,0.495,0
46.2,19.1,0.586,0.22,3,0.19,0
4.0,16.2,0.417,0.151,2,0.134,0
7.9,53.7,0.439,0.263,2,0.618,1
103.0,38.9,0.497,0.536,4,0.714,1
42.0,26.3,0.172,0.36,6,0.224,0
0.4,40.3,0.545,0.22,2,0.385,0
4.8,10.0,0.249,0.081,4,0.098,0
49.0,35.0,0.136,0.232,0,0.18,0
0.2,38.3,0.599,0.167,4,0.397,0
7.9,44.2,0.615,0.118,1,0.368,0
35.8,24.9,0.661,0.28,3,0.183,0
53.0,35.9,0.343,0.331,4,0.313,0
47.5,25.7,0.74,0.304,4,0.357,0
11.4,37.6,0.469,0.259,2,0.261,0
56.0,26.0,0.666,0.208,2,0.212,0
12.2,30.9,0.656,0.253,2,0.211,0
17.7,25.0,0.301,0.136,2,0.083,0
61.8,41.5,0.294,0.219,4,0.379,0
47.2,43.6,0.454,0.303,3,0.545,1
85.1,32.7,0.789,0.446,3,0.63,1
48.2,35.4,0.366,0.302,3,0.282,0
37.8,20.5,0.446,0.24,1,0.163,0
4.4,32.0,0.507,0.185,3,0.232,0
20.6,34.5,0.299,0.209,2,0.26,0
13.9,60.0,0.722,0.092,5,0.99,1
12.6,23.9,0.298,0.08,2,0.162,0
162.6,49.6,0.54,0.523,4,0.972,1
22.5,45.0,0.564,0.209,4,0.559,1
100.2,37.8,0.596,0.385,1,0.59,1
44.9,52.6,0.495,0.309,1,0.583,1
71.3,38.7,0.234,0.299,1,0.275,0
31.4,38.9,0.734,0.268,3,0.457,0
38.7,34.5,0.018,0.229,0,0.114,0
30.5,47.2,0.382,0.367,0,0.491,0
9.8,46.0,0.457,0.179,1,0.411,0
57.7,28.7,0.489,0.472,4,0.353,0
14.8,21.8,0.294,0.213,6,0.233,0
1.1,33.0,0.533,0.135,3,0.168,0
46.7,27.0,0.516,0.187,2,0.221,0
8.8,34.4,0.594,0.055,5,0.356,0
126.9,47.4,0.589,0.367,2,0.797,1
138.5,30.4,0.529,0.403,3,0.737,1
110.9,34.6,0.629,0.44,8,0.768,1
20.8,35.6,0.495,0.156,2,0.169,0
0.7,43.5,0.234,0.167,4,0.39,0
118.6,12.5,0.208,0.529,0,0.195,0
25.2,28.9,0.474,0.202,3,0.183,0
153.0,37.1,0.219,0.673,3,0.851,1
149.1,47.0,0.06,0.404,1,0.772,1
86.3,30.1,0.713,0.339,4,0.503,1
15.7,16.2,0.804,0.143,6,0.204,0
21.9,41.2,0.239,0.276,3,0.33,0
85.7,28.6,0.315,0.171,3,0.279,0
17.2,23.1,0.257,0.075,3,0.136,0
8.4,28.8,0.478,0.161,3,0.177,0
36.6,33.2,0.234,0.36,4,0.289,0
123.8,29.0,0.299,0.457,2,0.539,1
53.6,12.9,0.569,0.167,1,0.174,0
38.0,44.0,0.164,0.143,2,0.261,0
4.6,47.7,0.402,0.295,3,0.496,0
43.0,41.5,0.141,0.201,1,0.244,0
207.5,23.6,0.19,0.559,2,0.698,1
6.8,33.0,0.123,0.284,1,0.112,0
32.9,34.9,0.409,0.308,4,0.328,0
94.4,41.0,0.395,0.472,0,0.421,0
60.8,41.7,0.043,0.216,4,0.33,0
53.7,27.7,0.368,0.153,1,0.201,0
54.6,35.8,0.122,0.288,2,0.205,0
20.0,39.6,0.783,0.224,4,0.559,1
15.6,49.6,0.59,0.216,3,0.604,1
74.6,42.0,0.536,0.442,4,0.62,1
74.8,42.9,0.595,0.186,3,0.596,1
90.8,35.8,0.342,0.431,2,0.401,0
110.0,49.1,0.576,0.319,1,0.838,1
32.2,39.1,0.228,0.294,0,0.224,0
31.3,26.4,0.382,0.185,4,0.167,0
72.0,49.0,0.18,0.253,3,0.523,1
47.2,42.0,0.866,0.211,3,0.627,1
54.5,30.6,0.067,0.161,1,0.169,0
71.5,30.2,0.179,0.32,5,0.268,0
99.3,38.0,0.216,0.32,3,0.477,0
18.6,39.6,0.775,0.256,2,0.478,0
21.2,37.0,0.363,0.251,3,0.329,0
4.4,38.1,0.229,0.295,2,0.247,0
38.9,52.0,0.529,0.27,3,0.737,1
1.6,45.7,0.758,0.195,3,0.65,1
28.2,36.9,0.365,0.328,2,0.3,0
35.2,44.4,0.137,0.182,1,0.242,0
15.2,24.7,0.165,0.066,2,0.156,0
40.2,39.0,0.63,0.26,6,0.539,1
1.4,53.1,0.579,0.05,4,0.573,1
1.7,32.8,0.257,0.35,3,0.219,0
77.8,26.5,0.328,0.448,1,0.248,0
20.1,28.5,0.478,0.37,4,0.199,0
6.1,24.1,0.562,0.169,4,0.161,0
33.2,27.2,0.508,0.272,2,0.144,0
66.1,31.3,0.579,0.268,3,0.369,0
10.9,20.9,0.227,0.246,3,0.198,0
43.9,35.2,0.675,0.155,1,0.281,0
4.0,44.0,0.784,0.05,2,0.503,1
2.4,25.9,0.46,0.092,3,0.183,0
34.1,50.2,0.399,0.113,2,0.512,1
35.0,40.1,0.091,0.35,1,0.209,0
45.7,45.3,0.303,0.402,1,0.401,0
58.3,28.4,0.632,0.174,7,0.392,0
167.6,43.5,0.459,0.644,2,0.923,1
32.7,24.1,0.613,0.302,3,0.312,0
17.6,43.9,0.307,0.065,6,0.408,0
71.4,36.7,0.662,0.285,2,0.423,0
14.2,40.5,0.291,0.137,2,0.201,0
26.0,23.2,0.663,0.271,4,0.28,0
3.7,26.0,0.531,0.06,2,0.114,0
1.2,41.0,0.344,0.145,2,0.29,0
147.9,25.5,0.043,0.44,2,0.517,1
81.3,39.6,0.687,0.378,7,0.723,1
53.6,21.3,0.469,0.258,1,0.164,0
23.7,43.5,0.366,0.162,3,0.329,0
8.6,22.7,0.415,0.153,4,0.183,0
7.7,40.5,0.101,0.331,2,0.271,0
13.0,41.3,0.203,0.147,5,0.352,0
35.9,28.0,0.679,0.15,2,0.208,0
56.4,40.8,0.726,0.328,5,0.701,1
48.6,37.6,0.167,0.252,2,0.207,0
14.8,29.6,0.465,0.071,0,0.032,0
139.4,24.9,0.427,0.654,4,0.715,1
60.3,15.4,0.578,0.262,1,0.128,0
36.4,38.5,0.302,0.205,3,0.263,0
42.6,19.4,0.579,0.262,3,0.108,0
24.5,36.0,0.608,0.346,1,0.237,0
12.8,32.4,0.484,0.05,5,0.268,0
19.8,41.8,0.636,0.218,4,0.57,1
63.8,32.0,0.237,0.466,1,0.232,0
0.7,31.7,0.62,0.162,5,0.305,0
5.6,42.3,0.148,0.064,1,0.192,0
2.1,38.4,0.617,0.105,1,0.359,0
1.9,38.2,0.608,0.171,1,0.317,0
87.0,39.7,0.476,0.46,3,0.561,1
54.7,19.6,0.333,0.251,2,0.138,0
28.9,42.6,0.278,0.284,1,0.304,0
4.6,41.1,0.54,0.05,3,0.286,0
30.4,24.8,0.104,0.106,1,0.136,0
28.9,32.6,0.244,0.179,3,0.172,0
8.6,34.6,0.551,0.285,3,0.251,0
25.6,33.7,0.258,0.215,1,0.176,0
22.9,38.3,0.339,0.227,3,0.287,0
43.1,49.3,0.484,0.273,3,0.608,1
45.4,45.8,0.404,0.345,5,0.561,1
2.1,21.9,0.159,0.106,2,0.08,0
21.1,41.2,0.328,0.254,3,0.381,0
44.2,48.3,0.44,0.187,5,0.607,1
31.5,38.9,0.639,0.382,2,0.41,0
87.4,45.9,0.793,0.29,3,0.754,1
48.4,55.1,0.526,0.192,2,0.682,1
8.0,45.2,0.05,0.213,3,0.305,0
3.3,37.5,0.838,0.164,2,0.405,0
46.3,45.5,0.529,0.284,1,0.446,0
1.2,36.4,0.349,0.171,2,0.197,0
39.7,35.2,0.369,0.155,3,0.253,0
126.8,31.5,0.518,0.575,3,0.743,1
38.6,50.6,0.204,0.311,2,0.473,0
22.1,26.8,0.189,0.31,4,0.194,0
46.4,50.3,0.402,0.216,3,0.554,1
27.6,40.0,0.83,0.248,7,0.695,1
35.5,21.0,0.515,0.249,3,0.201,0
127.7,38.7,0.184,0.538,2,0.714,1
22.0,14.0,0.027,0.294,0,0.148,0
146.2,41.3,0.18,0.507,2,0.804,1
106.1,43.9,0.453,0.276,3,0.68,1
9.8,29.1,0.289,0.315,2,0.136,0
3.2,36.2,0.624,0.202,1,0.313,0
4.8,54.5,0.208,0.112,3,0.449,0
0.8,29.9,0.373,0.184,3,0.225,0
4.5,24.4,0.725,0.05,3,0.155,0
51.7,49.8,0.207,0.355,2,0.511,1
3.3,54.6,0.285,0.05,3,0.441,0
17.3,35.0,0.335,0.173,4,0.294,0
83.9,45.1,0.412,0.365,1,0.509,1
1.1,48.4,0.394,0.236,2,0.459,0
75.8,27.6,0.089,0.335,0,0.158,0
14.9,30.1,0.186,0.236,2,0.164,0
5.7,47.3,0.302,0.161,4,0.409,0
53.7,51.9,0.297,0.273,3,0.573,1
44.6,40.6,0.644,0.261,5,0.572,1
94.5,26.2,0.742,0.355,4,0.458,0
59.8,54.9,0.641,0.155,5,0.808,1
73.2,29.7,0.181,0.259,3,0.235,0
14.9,31.6,0.744,0.204,2,0.271,0
8.8,38.4,0.474,0.151,1,0.202,0
62.5,50.5,0.346,0.283,2,0.609,1
74.0,43.5,0.355,0.297,3,0.488,0
209.6,39.1,0.595,0.57,1,0.894,1
23.9,39.6,0.672,0.166,9,0.587,1
20.9,35.4,0.557,0.174,2,0.351,0
67.4,40.6,0.043,0.308,1,0.37,0
18.8,10.0,0.733,0.225,4,0.09,0
120.2,32.0,0.1,0.416,3,0.579,1
88.0,37.4,0.487,0.273,3,0.491,0
25.2,23.5,0.583,0.097,7,0.334,0
62.5,38.9,0.571,0.504,3,0.566,1
63.2,33.0,0.134,0.207,1,0.192,0
4.9,52.6,0.634,0.12,4,0.607,1
104.8,50.7,0.425,0.436,4,0.837,1
31.7,30.3,0.332,0.253,1,0.168,0
78.8,33.5,0.241,0.376,4,0.386,0
17.4,34.3,0.538,0.155,4,0.252,0
101.6,30.5,0.619,0.406,5,0.589,1
22.2,37.0,0.18,0.207,4,0.285,0
0.5,27.4,0.455,0.126,2,0.101,0
106.1,23.7,0.611,0.417,3,0.458,0
4.3,41.2,0.127,0.244,4,0.353,0
17.3,41.3,0.587,0.189,1,0.359,0
134.9,27.0,0.655,0.463,4,0.739,1
135.4,44.0,0.312,0.551,1,0.726,1
38.3,28.7,0.783,0.316,3,0.305,0
45.0,37.5,0.63,0.382,5,0.624,1
26.8,43.2,0.27,0.072,1,0.211,0
15.6,34.7,0.207,0.259,1,0.227,0
17.9,39.5,0.183,0.24,0,0.165,0
50.2,29.8,0.644,0.196,1,0.217,0
62.8,33.0,0.693,0.317,4,0.479,0
70.6,32.9,0.366,0.399,2,0.315,0
70.1,27.5,0.242,0.247,2,0.219,0
4.3,33.2,0.443,0.195,1,0.156,0
30.7,19.5,0.612,0.291,2,0.102,0
2.7,30.1,0.529,0.071,3,0.166,0
35.9,32.2,0.913,0.222,4,0.465,0
26.2,32.4,0.583,0.235,3,0.277,0
98.4,32.6,0.116,0.316,1,0.359,0
19.4,34.4,0.452,0.125,3,0.247,0
5.6,39.8,0.58,0.152,7,0.528,1
6.9,43.7,0.31,0.23,3,0.361,0
64.5,28.5,0.432,0.352,4,0.262,0
43.3,23.0,0.069,0.182,3,0.141,0
4.8,24.6,0.321,0.213,0,0.109,0
4.0,30.1,0.25,0.092,2,0.177,0
54.3,31.5,0.272,0.148,0,0.109,0
3.4,27.3,0.409,0.129,3,0.089,0
77.6,22.0,0.539,0.421,7,0.411,0
55.1,30.4,0.083,0.331,1,0.183,0
3.8,36.8,0.833,0.159,4,0.476,0
4.0,41.0,0.596,0.126,0,0.282,0
194.2,29.4,0.75,0.572,7,0.962,1
21.1,30.9,0.251,0.208,0,0.114,0
20.8,25.7,0.65,0.113,2,0.164,0
75.4,34.7,0.538,0.298,3,0.421,0
132.4,26.5,0.346,0.442,1,0.46,0
192.1,40.7,0.272,0.49,0,0.8,1
63.0,17.1,0.197,0.23,1,0.108,0
21.2,31.4,0.524,0.232,5,0.378,0
3.9,38.0,0.312,0.16,1,0.19,0
67.6,36.8,0.888,0.283,4,0.679,1
36.8,60.0,0.438,0.163,3,0.835,1
24.8,38.5,0.053,0.334,0,0.146,0
106.6,25.0,0.358,0.332,1,0.378,0
5.3,34.0,0.307,0.183,3,0.289,0
30.5,17.2,0.33,0.182,1,0.092,0
0.5,34.2,0.808,0.154,3,0.35,0
28.5,26.7,0.546,0.253,5,0.334,0
2.6,44.2,0.46,0.05,3,0.378,0
5.7,29.5,0.432,0.163,2,0.177,0
5.6,33.8,0.277,0.258,1,0.235,0
47.1,28.6,0.589,0.401,4,0.381,0
61.7,52.4,0.278,0.284,5,0.673,1
39.4,31.8,0.633,0.245,3,0.318,0
147.4,53.3,0.193,0.671,6,0.99,1
21.1,43.1,0.475,0.29,5,0.519,1
15.1,39.8,0.198,0.136,3,0.193,0
91.3,38.7,0.583,0.314,4,0.594,1
11.4,38.9,0.728,0.253,3,0.417,0
148.6,15.7,0.401,0.416,3,0.537,1
0.6,32.2,0.491,0.238,5,0.26,0
157.6,43.5,0.719,0.545,2,0.957,1
2.0,34.5,0.589,0.196,2,0.339,0
99.8,20.9,0.241,0.362,6,0.455,0
33.8,34.5,0.342,0.178,1,0.117,0
223.1,52.0,0.727,0.787,3,0.944,1
3.4,47.5,0.346,0.138,2,0.332,0
36.3,34.4,0.508,0.202,2,0.212,0
156.8,44.5,0.328,0.509,1,0.789,1
33.3,31.3,0.402,0.243,4,0.262,0
44.7,18.0,0.768,0.172,6,0.276,0
53.5,25.8,0.272,0.23,3,0.224,0
27.3,50.6,0.406,0.164,3,0.503,1
44.4,32.3,0.347,0.321,1,0.195,0
39.5,32.6,0.689,0.171,2,0.301,0
104.1,32.0,0.335,0.253,5,0.517,1
2.1,54.0,0.741,0.05,4,0.808,1
14.8,51.3,0.707,0.067,4,0.713,1
135.2,57.2,0.168,0.574,4,0.944,1
99.4,33.4,0.302,0.383,0,0.281,0
27.4,38.0,0.307,0.254,4,0.379,0
43.6,19.8,0.398,0.295,1,0.092,0
14.6,49.8,0.252,0.189,0,0.343,0
9.4,23.3,0.162,0.166,2,0.039,0
28.0,37.2,0.694,0.299,4,0.478,0
19.6,24.0,0.373,0.207,6,0.232,0
39.4,29.1,0.716,0.354,4,0.368,0
3.6,26.6,0.165,0.208,2,0.253,0
164.9,28.9,0.698,0.485,3,0.794,1
192.8,29.6,0.443,0.56,0,0.752,1
53.9,29.5,0.262,0.218,3,0.233,0
34.6,43.3,0.562,0.328,5,0.57,1
16.7,24.0,0.278,0.156,1,0.143,0
75.6,37.2,0.729,0.263,3,0.544,1
51.9,47.2,0.498,0.297,5,0.695,1
8.0,29.9,0.304,0.161,1,0.219,0
108.8,27.8,0.344,0.427,2,0.43,0
77.8,32.7,0.487,0.483,3,0.419,0
134.6,46.8,0.346,0.537,3,0.927,1
58.2,36.9,0.711,0.288,2,0.508,1
42.8,29.7,0.634,0.137,2,0.193,0
24.4,39.8,0.774,0.167,4,0.508,1
121.5,24.0,0.397,0.49,3,0.535,1
90.5,41.8,0.483,0.267,2,0.545,1
2.1,39.1,0.042,0.326,0,0.137,0
1.2,31.9,0.169,0.154,1,0.159,0
21.3,26.6,0.464,0.204,5,0.265,0
74.9,26.1,0.552,0.271,4,0.306,0
196.4,40.3,0.341,0.648,3,0.902,1
7.3,47.3,0.435,0.074,6,0.493,0
40.6,28.6,0.281,0.418,1,0.13,0
21.6,39.6,0.341,0.306,1,0.248,0
157.7,14.1,0.18,0.597,0,0.41,0
83.1,29.2,0.744,0.233,4,0.397,0
82.0,34.7,0.495,0.358,4,0.469,0
28.5,25.9,0.409,0.313,2,0.174,0
24.1,25.6,0.179,0.254,1,0.169,0
14.4,28.3,0.373,0.103,1,0.121,0
2.6,37.9,0.154,0.104,4,0.188,0
90.0,33.1,0.519,0.324,3,0.451,0
75.4,12.6,0.499,0.278,5,0.182,0
320.0,13.8,0.36,0.99,3,0.675,1
256.3,28.9,0.251,0.594,0,0.673,1
36.5,39.6,0.953,0.288,4,0.631,1
65.9,10.0,0.252,0.2,2,0.25,0
130.3,30.0,0.416,0.377,3,0.631,1
85.3,29.7,0.643,0.188,3,0.388,0
12.8,48.9,0.313,0.136,5,0.428,0
26.9,31.1,0.769,0.334,6,0.422,0
6.2,38.8,0.187,0.186,2,0.214,0
138.6,36.4,0.126,0.378,3,0.692,1
41.9,13.7,0.5,0.329,2,0.139,0
11.7,42.7,0.302,0.276,4,0.397,0
50.1,37.2,0.735,0.275,7,0.585,1
43.3,40.1,0.166,0.414,1,0.175,0
20.0,60.0,0.385,0.262,2,0.783,1
5.4,14.2,0.693,0.217,3,0.103,0
50.1,52.2,0.228,0.203,5,0.548,1
33.1,32.1,0.464,0.277,2,0.269,0
66.6,37.9,0.116,0.323,0,0.167,0
33.0,34.5,0.177,0.269,3,0.254,0
86.0,30.8,0.476,0.296,1,0.255,0
36.1,29.3,0.182,0.245,4,0.215,0
37.0,38.3,0.452,0.171,3,0.355,0
94.2,19.8,0.205,0.198,4,0.254,0
23.2,42.5,0.666,0.284,5,0.678,1
6.5,30.8,0.382,0.05,1,0.218,0
1.3,23.7,0.428,0.162,0,0.113,0
63.3,30.5,0.452,0.324,4,0.35,0
43.6,47.6,0.287,0.278,2,0.475,0
54.8,29.6,0.584,0.255,6,0.409,0
10.8,38.6,0.726,0.197,1,0.381,0
6.6,27.7,0.284,0.203,4,0.17,0
0.7,42.6,0.391,0.21,5,0.359,0
19.4,41.9,0.236,0.334,1,0.222,0
40.1,53.5,0.043,0.262,2,0.549,1
22.4,33.2,0.292,0.207,2,0.207,0
25.9,41.7,0.668,0.138,4,0.476,0
105.5,36.0,0.418,0.431,2,0.61,1
19.3,48.0,0.111,0.248,3,0.345,0
32.5,27.8,0.521,0.21,4,0.266,0
68.9,42.5,0.643,0.354,2,0.602,1
22.7,33.1,0.266,0.18,1,0.182,0
43.8,34.4,0.089,0.306,2,0.192,0
89.2,35.9,0.3,0.431,2,0.384,0
134.4,37.5,0.596,0.535,5,0.846,1
7.2,33.8,0.245,0.176,1,0.13,0
117.5,37.1,0.332,0.341,2,0.593,1
30.5,50.8,0.494,0.172,0,0.408,0
